Biome,Ecoregion,Variable,Mean,Standard deviation,mtry,RMSE,Rsquared,MAE,Irreplaceable/AGC/BGC,Biome code
Tropical & Subtropical Moist Broadleaf Forests,Cordillera La Costa montane forests,Pastures,83.291968,2.3540317,4,13.430629,0.6185523,9.80625,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera La Costa montane forests,Population density,70.20645938,5.47803,4,13.430629,0.6185523,9.80625,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera La Costa montane forests,Roads,56.30787736,3.5259948,4,13.430629,0.6185523,9.80625,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera La Costa montane forests,y,100,0,4,13.430629,0.6185523,9.80625,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera Oriental montane forests,Croplands,0,0,4,20.128216,0.4353575,14.916112,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera Oriental montane forests,Navigable water,64.53971167,7.3064994,4,20.128216,0.4353575,14.916112,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera Oriental montane forests,Pastures,74.91616295,11.5292912,4,20.128216,0.4353575,14.916112,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera Oriental montane forests,Population density,72.03765889,4.7391823,4,20.128216,0.4353575,14.916112,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera Oriental montane forests,Roads,89.60211262,9.9242178,4,20.128216,0.4353575,14.916112,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera Oriental montane forests,y,99.63079245,0.5719739,4,20.128216,0.4353575,14.916112,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cross-Sanaga-Bioko coastal forests,Croplands,9.167435,1.7128281,4,24.708361,0.4381308,15.727746,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cross-Sanaga-Bioko coastal forests,Navigable water,54.90864425,4.9571576,4,24.708361,0.4381308,15.727746,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cross-Sanaga-Bioko coastal forests,Pastures,57.33008385,12.2151267,4,24.708361,0.4381308,15.727746,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cross-Sanaga-Bioko coastal forests,Population density,72.81520151,3.4868614,4,24.708361,0.4381308,15.727746,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cross-Sanaga-Bioko coastal forests,Roads,78.03221545,8.2455996,4,24.708361,0.4381308,15.727746,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cross-Sanaga-Bioko coastal forests,y,100,0,4,24.708361,0.4381308,15.727746,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cuban moist forests,Croplands,9.71715298,6.0103014,4,16.639212,0.5369211,4.82957,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cuban moist forests,Navigable water,98.92139833,1.6709625,4,16.639212,0.5369211,4.82957,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cuban moist forests,Pastures,74.70676018,8.6443554,4,16.639212,0.5369211,4.82957,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cuban moist forests,Population density,65.64076848,6.9680318,4,16.639212,0.5369211,4.82957,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cuban moist forests,Roads,83.33314586,15.2886943,4,16.639212,0.5369211,4.82957,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cuban moist forests,y,79.81396411,6.7999899,4,16.639212,0.5369211,4.82957,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,East African montane forests,Croplands,18.99995482,8.0817246,4,16.592561,0.442827,12.045577,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,East African montane forests,Pastures,78.67463056,2.6672596,4,16.592561,0.442827,12.045577,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,East African montane forests,Population density,89.53191872,11.8067778,4,16.592561,0.442827,12.045577,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,East African montane forests,Roads,44.08602105,6.1689187,4,16.592561,0.442827,12.045577,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,East African montane forests,y,99.47969885,0.5699614,4,16.592561,0.442827,12.045577,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Arc forests,Croplands,5.73213604,1.4980835,4,11.189379,0.5272686,7.099908,irrep,TropMoBF
